Ticker,Público Alvo,Tipo de Fii,Administrador,Último Rend. (R$),Último Rend. (%),Data Pagamento,Data Base,Rend. Méd. 12m (R$),Rend. Méd. 12m (%),Patrimônio/Cota,Cotação/VP,N° negócios/mês,Partic. IFIX,Número Cotistas,Patrimônio,Cota base
PQAG11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"0,45","0,76",15/01/2024,28/12/2023,"0,44","0,74","57,12","1,01",79,N/A,476,"799.124.298,41","59,47"
PQDP11,Investidores em Geral,Tijolo:Shoppings,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"18,47","0,95",19/01/2024,28/12/2023,"17,20","0,88","3.147,05","0,57",436,N/A,3.987,"861.344.743,76","1.943,85"
PRSN11B,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,OLIVEIRA TRUST DTVM S.A.,"0,15",N/A,04/08/2023,28/07/2023,"0,05",N/A,"4,08","0,38",504,N/A,1.030,"12.430.463,91",N/A
PRSV11,Investidores em Geral,Tijolo:Lajes Corporativas,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"1,62","0,42",15/10/2020,30/09/2020,"2,04","0,53","244,22","0,38",165,N/A,952,"35.359.299,83","382,00"
PRTS11,Investidor Qualificado,Tijolo:Shoppings,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,05",N/A,18/05/2022,11/05/2022,"0,01",N/A,"0,06","1.961,67",N/A,N/A,11,"3.111.607,44",N/A
PRZS11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PULV11,Investidor Profissional,Fundos Imobiliários:,INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,"0,08",N/A,15/01/2024,28/12/2023,"0,01",N/A,"10,04",N/A,N/A,N/A,2,"70.068.775,59",N/A
PURB11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PVBI11,Investidores em Geral,Tijolo:Lajes Corporativas,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,70","0,68",08/01/2024,28/12/2023,"0,65","0,63","100,19","1,03",162,"1,56",136.210,"1.772.908.899,10","103,21"
QAGR11,Investidores em Geral,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,43","0,84",09/01/2024,02/01/2024,"0,43","0,85","58,66","0,85",10,"0,22",21.758,"290.904.877,50","50,91"
QAMI11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,00","1,17",23/10/2023,16/10/2023,"0,68","0,80","92,80","0,91",2,N/A,1.440,"74.367.555,48","85,12"
QIFF11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QIRI11,Investidores em Geral,Papel:Papéis,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"89,64",N/A,11/10/2022,04/10/2022,"7,92",N/A,"89,61","0,87",36,N/A,173,"13.441.852,95",N/A
RBBV11,Investidores em Geral,Outros:Indefinido,CAIXA ECONOMICA FEDERAL,"0,22",N/A,22/07/2021,20/07/2021,"2,76",N/A,N/A,"0,99",N/A,N/A,3.475,"126.470.249,69",N/A
RBCB11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBCO11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBDS11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,OLIVEIRA TRUST DTVM S.A.,"2,35","11,21",12/07/2021,30/06/2021,"0,20","0,93","20,59","0,10",172,N/A,964,"2.741.494,15","21,00"
RBED11,Investidores em Geral,Tijolo:Educacional,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"1,45","0,99",15/01/2024,28/12/2023,"1,35","0,92","143,44","1,02",4,N/A,13.145,"343.302.420,13","147,20"
RBFF11,Investidores em Geral,Papel:Fundo de Fundos,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,52","0,85",15/01/2024,28/12/2023,"0,50","0,83","67,60","0,89",20,"0,18",20.333,"259.786.434,65","61,00"
RBGS11,Investidores em Geral,Tijolo:Shoppings,OLIVEIRA TRUST DTVM S.A.,"0,18","0,62",14/01/2022,30/12/2021,"0,15","0,54",N/A,"0,31",N/A,N/A,2.808,"97.865.283,71","28,45"
RBHG11,Investidores em Geral,Papel:Papéis,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"1,05","1,14",15/01/2024,28/12/2023,"1,05","1,14","91,08","1,01",15,"0,14",9.885,"158.083.643,68","91,85"
RBHY11,Investidores em Geral,Papel:Papéis,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"1,10","1,18",15/01/2024,28/12/2023,"1,17","1,25","93,24","0,99",2,N/A,3.577,"177.357.422,17","93,01"
RBIR11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,OLIVEIRA TRUST DTVM S.A.,"0,52","0,57",15/01/2024,28/12/2023,"0,61","0,67","98,62","0,94",668,N/A,1.638,"149.627.797,63","90,51"
RBIV11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBLG11,Investidor Profissional,Tijolo:Imóveis Industriais e Logísticos,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,95","0,93",09/01/2024,02/01/2024,"0,92","0,89","104,73","1,00",83,N/A,222,"66.362.546,00","102,53"
RBOP11,Investidores em Geral,Tijolo:Lajes Corporativas,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"21,79","6,73",31/01/2024,16/01/2024,"6,18","1,91","792,01","0,41",768,N/A,3.542,"80.518.930,66","323,90"
RBRD11,Investidores em Geral,Tijolo:Varejo,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,"0,34",N/A,15/01/2024,29/12/2023,"0,33",N/A,"65,91","0,59",2,N/A,8.835,"125.394.905,43",N/A
RBRF11,Investidores em Geral,Papel:Fundo de Fundos,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,55","0,67",17/01/2024,10/01/2024,"0,60","0,73","86,86","0,92",130,"0,87",108.583,"1.198.529.321,80","81,75"
RBRI11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"17,86",N/A,25/02/2022,18/02/2022,"5,95",N/A,"1.221,79","0,93",1,N/A,89,"163.635.997,64",N/A
RBRL11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,72","0,80",15/01/2024,08/01/2024,"0,67","0,74","105,39","0,86",27,"0,46",13.891,"674.625.415,08","89,93"
RBRM11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"2.002,09",N/A,19/04/2023,12/04/2023,"636,47",N/A,"46.981,16","3,63",N/A,N/A,54,"14.090.520,99",N/A
RBRP11,Investidores em Geral,Tijolo:Lajes Corporativas,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,28","0,49",15/01/2024,08/01/2024,"0,27","0,48","82,17","0,70",69,"0,53",86.371,"956.361.860,81","56,67"
RBRR11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,68","0,75",17/01/2024,10/01/2024,"0,81","0,89","95,26","0,93",154,"1,06",135.890,"1.441.506.958,91","91,00"
RBRS11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,75","1,42",15/01/2024,28/12/2023,"0,37","0,69","95,25","0,54",359,N/A,1.204,"161.233.561,01","53,00"
RBRX11,Investidores em Geral,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,09","0,98",23/01/2024,15/01/2024,"0,11","1,17","96,58","0,95",69,"0,14",8.518,"182.090.467,01","9,20"
RBRY11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,00","1,00",17/01/2024,10/01/2024,"1,16","1,16","98,39","1,01",97,"0,79",48.942,"982.827.346,90","99,99"
RBTS11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,OLIVEIRA TRUST DTVM S.A.,"23,00","2,56",14/12/2023,30/11/2023,"25,02","2,78","665,25","1,18",526,N/A,103,"36.107.894,17","900,00"
RBVA11,Investidores em Geral,Tijolo:Varejo,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"1,00","0,88",15/01/2024,28/12/2023,"0,98","0,86","107,52","1,02",39,"1,28",50.295,"1.373.886.556,44","113,56"
RBVO11,Investidores em Geral,Papel:Papéis,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,04","0,41",09/01/2024,28/12/2023,"0,02","0,23","16,93","0,48",412,N/A,2.496,"8.764.558,44","8,44"
RCFA11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RCFF11,Investidor Profissional,Papel:Fundo de Fundos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"1,36",N/A,19/01/2024,12/01/2024,"0,22",N/A,"101,90","0,93",1,N/A,90,"33.091.100,45",N/A
RCKF11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RCRB11,Investidores em Geral,Tijolo:Lajes Corporativas,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,93","0,58",15/01/2024,08/01/2024,"0,77","0,48","209,12","0,77",30,"0,46",31.468,"758.897.031,65","161,00"
RCRI11B,Investidor Qualificado,Papel:Papéis,OLIVEIRA TRUST DTVM S.A.,"12,48",N/A,17/12/2021,10/12/2021,"3,34",N/A,N/A,"3,28",N/A,N/A,149,"18.639.596,10",N/A
RDES11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RDPD11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,30","1,32",23/08/2023,16/08/2023,"1,14","5,01","22,72","1,04",4,N/A,3.141,"24.085.452,18","22,77"
RECR11,Investidores em Geral,Papel:Papéis,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,76","0,86",15/01/2024,08/01/2024,"0,89","1,01","95,46","0,88",83,"1,78",179.558,"2.542.400.709,43","87,98"
RECT11,Investidores em Geral,Tijolo:Lajes Corporativas,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,40","0,84",15/01/2024,08/01/2024,"0,45","0,94","92,59","0,49",16,"0,31",68.448,"786.591.601,68","47,40"
RECX11,Investidores em Geral,Papel:Fundo de Fundos,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,60","0,87",22/01/2024,15/01/2024,"0,59","0,85","73,36","0,90",165,N/A,649,"16.456.726,35","69,35"
REIT11,Investidor Qualificado,Papel:Papéis,SOCOPA SOCIEDADE CORRETORA PAULISTA SA,"4,31",N/A,15/01/2024,28/12/2023,"2,90",N/A,"285,51","0,63",2,N/A,69,"7.360.937,96",N/A
RELG11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,70","0,99",14/03/2023,07/03/2023,"0,18","0,26","121,90","0,37",3,"0,06",6.074,"167.875.236,30","70,79"
REON11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RFOF11,Investidores em Geral,Papel:Fundo de Fundos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,73","0,94",15/01/2024,28/12/2023,"0,72","0,93","80,04","0,94",4,N/A,4.785,"87.977.301,89","77,52"
RINV11,Investidores em Geral,Fundo Misto:,XP INVESTIMENTOS CCTVM S.A.,"1,55","1,37",15/01/2024,28/12/2023,"1,23","1,09","106,95","1,02",3,N/A,1.008,"92.445.875,89","113,20"
RMAI11,Investidores em Geral,Tijolo:Lajes Corporativas,REAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,"0,32","0,44",10/01/2024,28/12/2023,"0,27","0,38","99,29","0,70",5,N/A,1.185,"242.546.587,05","72,00"
RNDP11,Investidores em Geral,Papel:Papéis,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,"10,45",N/A,15/01/2024,29/12/2023,"8,90",N/A,"173,64","1,17",685,N/A,1.212,"11.477.673,07",N/A
RNGO11,Investidores em Geral,Tijolo:Lajes Corporativas,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,40","0,85",15/01/2024,28/12/2023,"0,40","0,85","86,83","0,56",2,N/A,10.460,"221.150.649,84","47,28"
ROOF11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"41,72",N/A,15/06/2023,31/05/2023,"12,37",N/A,"652,40","1,29",8,N/A,85,"43.332.895,01",N/A
RPRI11,Investidores em Geral,Papel:Papéis,INTRAG DTVM LTDA.,"0,95","0,92",12/01/2024,28/12/2023,"1,08","1,04","101,30","1,01",18,N/A,2.769,"318.834.133,48","103,80"
RRCI11,Investidores em Geral,Papel:Papéis,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,90","1,09",15/01/2024,28/12/2023,"0,96","1,17","91,76","0,90",448,N/A,2.102,"44.292.880,82","82,64"
RSPD11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,OLIVEIRA TRUST DTVM S.A.,"8,22",N/A,15/01/2024,28/12/2023,"12,84",N/A,"1.055,54","0,97",34,N/A,118,"155.575.947,95",N/A
RTEL11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RURA11,Investidores em Geral,Fiagro:Fiagro,INTRAG DTVM LTDA.,"0,10","0,91",08/01/2024,28/12/2023,"0,12","1,05","10,01","1,03",75,N/A,60.021,"1.603.068.599,14","11,04"
RVBI11,Investidores em Geral,Papel:Fundo de Fundos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,75","0,89",16/01/2024,09/01/2024,"0,74","0,88","84,54","0,99",5,"0,10",12.293,"123.988.740,85","84,10"
RZAG11,Investidores em Geral,Fiagro:Fiagro,BANCO GENIAL S.A.,"0,12","1,23",15/01/2024,28/12/2023,"0,12","1,32","9,75","0,95",220,N/A,85.482,"658.568.517,21","9,34"
RZAK11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,12","1,26",22/01/2024,15/01/2024,"1,20","1,35","91,39","0,96",108,"0,61",51.311,"804.940.205,04","89,17"
RZAT11,Investidores em Geral,Tijolo:,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,10","1,14",22/01/2024,15/01/2024,"1,04","1,08","100,05","0,94",29,"0,28",38.743,"370.996.795,08","96,43"
RZDM11,Investidor Profissional,Fundo Misto:Indefinido,PLURAL S.A. BANCO MÚLTIPLO,"281,25",N/A,20/06/2023,15/06/2023,"24,15",N/A,"549,83","16,77",6,N/A,4,"5.249.451,62",N/A
RZEO11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RZTR11,Investidores em Geral,Fundo Misto:Indefinido,PLURAL S.A. BANCO MÚLTIPLO,"1,10","1,01",08/01/2024,28/12/2023,"0,98","0,91","99,48","1,03",85,"1,15",97.594,"1.388.590.847,17","108,40"
SAAG11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SACL11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SADI11,Investidores em Geral,Papel:Papéis,SANTANDER SECURITIES SERVICES BRASIL DTVM S.A,"1,02","1,16",15/01/2024,28/12/2023,"1,02","1,16","95,81","0,94",11,"0,11",10.813,"148.657.946,28","87,80"
SAIC11B,Investidor Qualificado,Tijolo:Lajes Corporativas,BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,66",N/A,16/10/2018,01/10/2018,"0,73",N/A,"55,12","0,61",4,N/A,50,"79.833.977,02",N/A
SALI11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAPI11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SARE11,Investidores em Geral,Fundo Misto:Misto,SANTANDER SECURITIES SERVICES BRASIL DTVM S.A,"0,45","0,91",15/01/2024,28/12/2023,"0,54","1,10","88,44","0,53",42,"0,35",43.971,"827.310.388,30","49,29"
SBCL11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SCPF11,Investidores em Geral,Tijolo:Shoppings,BR-CAPITAL DTVM S.A.,"0,02","0,39",15/01/2024,05/01/2024,"0,02","0,51","11,70","0,38",1,N/A,5.036,"49.847.282,95","4,67"
SDIL11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,75","0,76",14/08/2023,31/07/2023,"0,81","0,82","95,88","1,01",31,"0,52",63.292,"612.048.658,06","98,98"
SDIP11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEED11,Investidor Profissional,Fundo Misto:Indefinido,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"0,82",N/A,15/01/2024,28/12/2023,"0,93",N/A,"89,21","1,05",1,N/A,125,"156.783.685,69",N/A
SEQR11,Investidores em Geral,Fundo Misto:Misto,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,72","1,18",15/01/2024,08/01/2024,"0,71","1,16","90,11","0,64",3,N/A,5.595,"151.618.163,99","60,60"
SFND11,Investidores em Geral,Tijolo:Lajes Corporativas,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,10",N/A,15/01/2024,28/12/2023,"0,01",N/A,"8,20","29,35",N/A,N/A,54,"2.782.115,08",N/A
SHDP11B,Investidores em Geral,Tijolo:Shoppings,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"5,11",N/A,19/01/2024,11/01/2024,"7,59",N/A,"1.293,28",N/A,N/A,N/A,3,"2.125.575.953,01",N/A
SHOP11,Investidores em Geral,Tijolo:Shoppings,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"6,75",N/A,30/03/2022,23/03/2022,"0,56",N/A,"48,22","1,24",10,N/A,53,"71.058.750,70",N/A
SHPH11,Investidores em Geral,Tijolo:Shoppings,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"5,10","0,60",15/01/2024,28/12/2023,"4,35","0,51","892,16","0,95",262,N/A,2.434,"563.132.086,63","850,00"
SHSO11,Investidor Profissional,Fundo Misto:Indefinido,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"0,42",N/A,15/01/2024,28/12/2023,"0,83",N/A,"97,08",N/A,N/A,N/A,1,"19.769.049,00",N/A
SIGR11,Investidor Profissional,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,15","0,16",23/01/2024,16/01/2024,"1,16","1,22","102,07","0,93",35,N/A,66,"39.745.199,02","95,11"
SJAU11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SLDZ11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNAG11,Investidores em Geral,Fiagro:Fiagro,SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,11","1,04",25/01/2024,15/01/2024,"0,11","1,12","10,09","1,00",59,N/A,78.093,"502.859.127,56","10,12"
SNCI11,Investidores em Geral,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,00","1,00",25/01/2024,15/01/2024,"1,03","1,03","99,50","0,98",11,"0,33",43.231,"426.083.415,68","100,39"
SNEL11,Investidores em Geral,Outros:Fundo de Desenvolvimento,XP INVESTIMENTOS CCTVM S.A.,"1,55","1,23",25/01/2024,15/01/2024,"0,38","0,30","98,67","1,29",35,N/A,5.194,"48.858.354,25","126,47"
